Year,Region,Province/territory,Plan,Average ($),Speed
2022,Urbain / Urban,BC,Talk Plan,19.17,Plus bas prix / Lowest
2022,Urbain / Urban,AB,Talk Plan,19.08,Plus bas prix / Lowest
2022,Urbain / Urban,SK,Talk Plan,23.54,Plus bas prix / Lowest
2022,Urbain / Urban,MB,Talk Plan,20,Plus bas prix / Lowest
2022,Urbain / Urban,ON,Talk Plan,20.6,Plus bas prix / Lowest
2022,Urbain / Urban,QC,Talk Plan,19.5,Plus bas prix / Lowest
2022,Urbain / Urban,NB,Talk Plan,22,Plus bas prix / Lowest
2022,Urbain / Urban,PE,Talk Plan,22,Plus bas prix / Lowest
2022,Urbain / Urban,NS,Talk Plan,22,Plus bas prix / Lowest
2022,Urbain / Urban,NL,Talk Plan,22,Plus bas prix / Lowest
2022,Urbain / Urban,YT,Talk Plan,23,Plus bas prix / Lowest
2022,Urbain / Urban,NT,Talk Plan,22.46,Plus bas prix / Lowest
2022,Urbain / Urban,NU,Talk Plan,22.46,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,Talk Plan,22.64,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,Talk Plan,21.14,Plus bas prix / Lowest
2022,Urbain / Urban,BC,1GB,27.8,Plus bas prix / Lowest
2022,Urbain / Urban,AB,1GB,27.53,Plus bas prix / Lowest
2022,Urbain / Urban,SK,1GB,27.5,Plus bas prix / Lowest
2022,Urbain / Urban,MB,1GB,27.5,Plus bas prix / Lowest
2022,Urbain / Urban,ON,1GB,27.78,Plus bas prix / Lowest
2022,Urbain / Urban,QC,1GB,27.4,Plus bas prix / Lowest
2022,Urbain / Urban,NB,1GB,27.5,Plus bas prix / Lowest
2022,Urbain / Urban,PE,1GB,26.67,Plus bas prix / Lowest
2022,Urbain / Urban,NS,1GB,27.5,Plus bas prix / Lowest
2022,Urbain / Urban,NL,1GB,27.5,Plus bas prix / Lowest
2022,Urbain / Urban,YT,1GB,27.67,Plus bas prix / Lowest
2022,Urbain / Urban,NT,1GB,27.67,Plus bas prix / Lowest
2022,Urbain / Urban,NU,1GB,27.67,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,1GB,27.67,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,1GB,27.49,Plus bas prix / Lowest
2022,Urbain / Urban,BC,2GB,36.08,Plus bas prix / Lowest
2022,Urbain / Urban,AB,2GB,35.94,Plus bas prix / Lowest
2022,Urbain / Urban,SK,2GB,35.5,Plus bas prix / Lowest
2022,Urbain / Urban,MB,2GB,35.5,Plus bas prix / Lowest
2022,Urbain / Urban,ON,2GB,35.89,Plus bas prix / Lowest
2022,Urbain / Urban,QC,2GB,33,Plus bas prix / Lowest
2022,Urbain / Urban,NB,2GB,36.25,Plus bas prix / Lowest
2022,Urbain / Urban,PE,2GB,36,Plus bas prix / Lowest
2022,Urbain / Urban,NS,2GB,36.25,Plus bas prix / Lowest
2022,Urbain / Urban,NL,2GB,36.25,Plus bas prix / Lowest
2022,Urbain / Urban,YT,2GB,35,Plus bas prix / Lowest
2022,Urbain / Urban,NT,2GB,35,Plus bas prix / Lowest
2022,Urbain / Urban,NU,2GB,35,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,2GB,35,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,2GB,35.61,Plus bas prix / Lowest
2022,Urbain / Urban,BC,5GB,49.17,Plus bas prix / Lowest
2022,Urbain / Urban,AB,5GB,49.58,Plus bas prix / Lowest
2022,Urbain / Urban,SK,5GB,52.46,Plus bas prix / Lowest
2022,Urbain / Urban,MB,5GB,47.5,Plus bas prix / Lowest
2022,Urbain / Urban,ON,5GB,48.49,Plus bas prix / Lowest
2022,Urbain / Urban,QC,5GB,39.63,Plus bas prix / Lowest
2022,Urbain / Urban,NB,5GB,48.13,Plus bas prix / Lowest
2022,Urbain / Urban,PE,5GB,48.13,Plus bas prix / Lowest
2022,Urbain / Urban,NS,5GB,48.13,Plus bas prix / Lowest
2022,Urbain / Urban,NL,5GB,48.13,Plus bas prix / Lowest
2022,Urbain / Urban,YT,5GB,43.5,Plus bas prix / Lowest
2022,Urbain / Urban,NT,5GB,43.5,Plus bas prix / Lowest
2022,Urbain / Urban,NU,5GB,43.5,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,5GB,43.5,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,5GB,47.53,Plus bas prix / Lowest
2022,Urbain / Urban,BC,10GB,58.75,Plus bas prix / Lowest
2022,Urbain / Urban,AB,10GB,59.38,Plus bas prix / Lowest
2022,Urbain / Urban,SK,10GB,65.95,Plus bas prix / Lowest
2022,Urbain / Urban,MB,10GB,61.67,Plus bas prix / Lowest
2022,Urbain / Urban,ON,10GB,57.63,Plus bas prix / Lowest
2022,Urbain / Urban,QC,10GB,43.83,Plus bas prix / Lowest
2022,Urbain / Urban,NB,10GB,65,Plus bas prix / Lowest
2022,Urbain / Urban,PE,10GB,70,Plus bas prix / Lowest
2022,Urbain / Urban,NS,10GB,65,Plus bas prix / Lowest
2022,Urbain / Urban,NL,10GB,65,Plus bas prix / Lowest
2022,Urbain / Urban,YT,10GB,57,Plus bas prix / Lowest
2022,Urbain / Urban,NT,10GB,54.67,Plus bas prix / Lowest
2022,Urbain / Urban,NU,10GB,54.67,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,10GB,55.44,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,10GB,60.7,Plus bas prix / Lowest
2022,Urbain / Urban,BC,20GB,65.83,Plus bas prix / Lowest
2022,Urbain / Urban,AB,20GB,66.08,Plus bas prix / Lowest
2022,Urbain / Urban,SK,20GB,68.54,Plus bas prix / Lowest
2022,Urbain / Urban,MB,20GB,63,Plus bas prix / Lowest
2022,Urbain / Urban,ON,20GB,64.55,Plus bas prix / Lowest
2022,Urbain / Urban,QC,20GB,53.29,Plus bas prix / Lowest
2022,Urbain / Urban,NB,20GB,66.43,Plus bas prix / Lowest
2022,Urbain / Urban,PE,20GB,68.33,Plus bas prix / Lowest
2022,Urbain / Urban,NS,20GB,66.43,Plus bas prix / Lowest
2022,Urbain / Urban,NL,20GB,66.43,Plus bas prix / Lowest
2022,Urbain / Urban,YT,20GB,61.33,Plus bas prix / Lowest
2022,Urbain / Urban,NT,20GB,66,Plus bas prix / Lowest
2022,Urbain / Urban,NU,20GB,66,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,20GB,64.44,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,20GB,64.85,Plus bas prix / Lowest
2022,Urbain / Urban,BC,50GB,84.17,Plus bas prix / Lowest
2022,Urbain / Urban,AB,50GB,83.08,Plus bas prix / Lowest
2022,Urbain / Urban,SK,50GB,79.97,Plus bas prix / Lowest
2022,Urbain / Urban,MB,50GB,75,Plus bas prix / Lowest
2022,Urbain / Urban,ON,50GB,81.21,Plus bas prix / Lowest
2022,Urbain / Urban,QC,50GB,74.29,Plus bas prix / Lowest
2022,Urbain / Urban,NB,50GB,83.57,Plus bas prix / Lowest
2022,Urbain / Urban,PE,50GB,83.57,Plus bas prix / Lowest
2022,Urbain / Urban,NS,50GB,83.57,Plus bas prix / Lowest
2022,Urbain / Urban,NL,50GB,83.57,Plus bas prix / Lowest
2022,Urbain / Urban,YT,50GB,85,Plus bas prix / Lowest
2022,Urbain / Urban,NT,50GB,85,Plus bas prix / Lowest
2022,Urbain / Urban,NU,50GB,85,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,50GB,85,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,50GB,81.54,Plus bas prix / Lowest
2022,Urbain / Urban,BC,Talk Plan,15,3G
2022,Urbain / Urban,AB,Talk Plan,15,3G
2022,Urbain / Urban,SK,Talk Plan,20.79,3G
2022,Urbain / Urban,MB,Talk Plan,15,3G
2022,Urbain / Urban,ON,Talk Plan,15,3G
2022,Urbain / Urban,QC,Talk Plan,15,3G
2022,Urbain / Urban,NB,Talk Plan,15,3G
2022,Urbain / Urban,PE,Talk Plan,15,3G
2022,Urbain / Urban,NS,Talk Plan,15,3G
2022,Urbain / Urban,NL,Talk Plan,15,3G
2022,Urbain / Urban,YT,Talk Plan,20,3G
2022,Urbain / Urban,NT,Talk Plan,20,3G
2022,Urbain / Urban,NU,Talk Plan,20,3G
2022,Urbain / Urban,Nord / North,Talk Plan,20,3G
2022,Urbain / Urban,Canada,Talk Plan,15.98,3G
2022,Urbain / Urban,BC,1GB,25,3G
2022,Urbain / Urban,AB,1GB,25,3G
2022,Urbain / Urban,SK,1GB,25,3G
2022,Urbain / Urban,MB,1GB,25,3G
2022,Urbain / Urban,ON,1GB,25,3G
2022,Urbain / Urban,QC,1GB,25,3G
2022,Urbain / Urban,NB,1GB,25,3G
2022,Urbain / Urban,PE,1GB,25,3G
2022,Urbain / Urban,NS,1GB,25,3G
2022,Urbain / Urban,NL,1GB,25,3G
2022,Urbain / Urban,YT,1GB,25,3G
2022,Urbain / Urban,NT,1GB,25,3G
2022,Urbain / Urban,NU,1GB,25,3G
2022,Urbain / Urban,Nord / North,1GB,25,3G
2022,Urbain / Urban,Canada,1GB,25,3G
2022,Urbain / Urban,BC,2GB,32.5,3G
2022,Urbain / Urban,AB,2GB,32.5,3G
2022,Urbain / Urban,SK,2GB,32.5,3G
2022,Urbain / Urban,MB,2GB,32.5,3G
2022,Urbain / Urban,ON,2GB,32.5,3G
2022,Urbain / Urban,QC,2GB,32.5,3G
2022,Urbain / Urban,NB,2GB,32.5,3G
2022,Urbain / Urban,PE,2GB,32.5,3G
2022,Urbain / Urban,NS,2GB,32.5,3G
2022,Urbain / Urban,NL,2GB,32.5,3G
2022,Urbain / Urban,YT,2GB,30,3G
2022,Urbain / Urban,NT,2GB,30,3G
2022,Urbain / Urban,NU,2GB,30,3G
2022,Urbain / Urban,Nord / North,2GB,30,3G
2022,Urbain / Urban,Canada,2GB,32.27,3G
2022,Urbain / Urban,BC,5GB,37.5,3G
2022,Urbain / Urban,AB,5GB,37.5,3G
2022,Urbain / Urban,SK,5GB,45.79,3G
2022,Urbain / Urban,MB,5GB,37.5,3G
2022,Urbain / Urban,ON,5GB,37.5,3G
2022,Urbain / Urban,QC,5GB,35,3G
2022,Urbain / Urban,NB,5GB,37.5,3G
2022,Urbain / Urban,PE,5GB,37.5,3G
2022,Urbain / Urban,NS,5GB,37.5,3G
2022,Urbain / Urban,NL,5GB,37.5,3G
2022,Urbain / Urban,YT,5GB,35,3G
2022,Urbain / Urban,NT,5GB,35,3G
2022,Urbain / Urban,NU,5GB,35,3G
2022,Urbain / Urban,Nord / North,5GB,35,3G
2022,Urbain / Urban,Canada,5GB,37.8,3G
2022,Urbain / Urban,BC,Talk Plan,21.25,LTE
2022,Urbain / Urban,AB,Talk Plan,21.46,LTE
2022,Urbain / Urban,SK,Talk Plan,25.6,LTE
2022,Urbain / Urban,MB,Talk Plan,23.33,LTE
2022,Urbain / Urban,ON,Talk Plan,23.34,LTE
2022,Urbain / Urban,QC,Talk Plan,21.75,LTE
2022,Urbain / Urban,NB,Talk Plan,25.5,LTE
2022,Urbain / Urban,PE,Talk Plan,25.5,LTE
2022,Urbain / Urban,NS,Talk Plan,25.5,LTE
2022,Urbain / Urban,NL,Talk Plan,25.5,LTE
2022,Urbain / Urban,YT,Talk Plan,26,LTE
2022,Urbain / Urban,NT,Talk Plan,23.69,LTE
2022,Urbain / Urban,NU,Talk Plan,23.69,LTE
2022,Urbain / Urban,Nord / North,Talk Plan,24.46,LTE
2022,Urbain / Urban,Canada,Talk Plan,23.93,LTE
2022,Urbain / Urban,BC,1GB,29.67,LTE
2022,Urbain / Urban,AB,1GB,29.58,LTE
2022,Urbain / Urban,SK,1GB,30,LTE
2022,Urbain / Urban,MB,1GB,30,LTE
2022,Urbain / Urban,ON,1GB,29.58,LTE
2022,Urbain / Urban,QC,1GB,29,LTE
2022,Urbain / Urban,NB,1GB,30,LTE
2022,Urbain / Urban,PE,1GB,30,LTE
2022,Urbain / Urban,NS,1GB,30,LTE
2022,Urbain / Urban,NL,1GB,30,LTE
2022,Urbain / Urban,YT,1GB,29,LTE
2022,Urbain / Urban,NT,1GB,29,LTE
2022,Urbain / Urban,NU,1GB,29,LTE
2022,Urbain / Urban,Nord / North,1GB,29,LTE
2022,Urbain / Urban,Canada,1GB,29.71,LTE
2022,Urbain / Urban,BC,2GB,37.88,LTE
2022,Urbain / Urban,AB,2GB,37.94,LTE
2022,Urbain / Urban,SK,2GB,37.5,LTE
2022,Urbain / Urban,MB,2GB,37.5,LTE
2022,Urbain / Urban,ON,2GB,37.57,LTE
2022,Urbain / Urban,QC,2GB,33.25,LTE
2022,Urbain / Urban,NB,2GB,38.13,LTE
2022,Urbain / Urban,PE,2GB,38.33,LTE
2022,Urbain / Urban,NS,2GB,38.13,LTE
2022,Urbain / Urban,NL,2GB,38.13,LTE
2022,Urbain / Urban,YT,2GB,37.5,LTE
2022,Urbain / Urban,NT,2GB,37.5,LTE
2022,Urbain / Urban,NU,2GB,37.5,LTE
2022,Urbain / Urban,Nord / North,2GB,37.5,LTE
2022,Urbain / Urban,Canada,2GB,37.44,LTE
2022,Urbain / Urban,BC,5GB,45,LTE
2022,Urbain / Urban,AB,5GB,45,LTE
2022,Urbain / Urban,SK,5GB,49.35,LTE
2022,Urbain / Urban,MB,5GB,45,LTE
2022,Urbain / Urban,ON,5GB,44.41,LTE
2022,Urbain / Urban,QC,5GB,36.5,LTE
2022,Urbain / Urban,NB,5GB,45,LTE
2022,Urbain / Urban,PE,5GB,45,LTE
2022,Urbain / Urban,NS,5GB,45,LTE
2022,Urbain / Urban,NL,5GB,45,LTE
2022,Urbain / Urban,YT,5GB,46.33,LTE
2022,Urbain / Urban,NT,5GB,46.33,LTE
2022,Urbain / Urban,NU,5GB,46.33,LTE
2022,Urbain / Urban,Nord / North,5GB,46.33,LTE
2022,Urbain / Urban,Canada,5GB,44.69,LTE
2022,Urbain / Urban,BC,10GB,50,LTE
2022,Urbain / Urban,AB,10GB,48.75,LTE
2022,Urbain / Urban,SK,10GB,60.79,LTE
2022,Urbain / Urban,MB,10GB,55,LTE
2022,Urbain / Urban,ON,10GB,49.34,LTE
2022,Urbain / Urban,QC,10GB,39.75,LTE
2022,Urbain / Urban,NB,10GB,55,LTE
2022,Urbain / Urban,PE,10GB,55,LTE
2022,Urbain / Urban,NS,10GB,55,LTE
2022,Urbain / Urban,NL,10GB,55,LTE
2022,Urbain / Urban,YT,10GB,57,LTE
2022,Urbain / Urban,NT,10GB,54.67,LTE
2022,Urbain / Urban,NU,10GB,54.67,LTE
2022,Urbain / Urban,Nord / North,10GB,55.44,LTE
2022,Urbain / Urban,Canada,10GB,52.64,LTE
2022,Urbain / Urban,BC,20GB,56.25,LTE
2022,Urbain / Urban,AB,20GB,55.21,LTE
2022,Urbain / Urban,SK,20GB,61.85,LTE
2022,Urbain / Urban,MB,20GB,55,LTE
2022,Urbain / Urban,ON,20GB,55.57,LTE
2022,Urbain / Urban,QC,20GB,48.5,LTE
2022,Urbain / Urban,NB,20GB,58.75,LTE
2022,Urbain / Urban,PE,20GB,60,LTE
2022,Urbain / Urban,NS,20GB,58.75,LTE
2022,Urbain / Urban,NL,20GB,58.75,LTE
2022,Urbain / Urban,YT,20GB,61.33,LTE
2022,Urbain / Urban,NT,20GB,66,LTE
2022,Urbain / Urban,NU,20GB,66,LTE
2022,Urbain / Urban,Nord / North,20GB,64.44,LTE
2022,Urbain / Urban,Canada,20GB,57.55,LTE
2022,Urbain / Urban,BC,50GB,80,LTE
2022,Urbain / Urban,AB,50GB,80,LTE
2022,Urbain / Urban,SK,50GB,80.79,LTE
2022,Urbain / Urban,MB,50GB,75,LTE
2022,Urbain / Urban,ON,50GB,78.75,LTE
2022,Urbain / Urban,QC,50GB,68.33,LTE
2022,Urbain / Urban,NB,50GB,81.67,LTE
2022,Urbain / Urban,PE,50GB,81.67,LTE
2022,Urbain / Urban,NS,50GB,81.67,LTE
2022,Urbain / Urban,NL,50GB,81.67,LTE
2022,Urbain / Urban,YT,50GB,85,LTE
2022,Urbain / Urban,NT,50GB,85,LTE
2022,Urbain / Urban,NU,50GB,85,LTE
2022,Urbain / Urban,Nord / North,50GB,85,LTE
2022,Urbain / Urban,Canada,50GB,79.5,LTE
2022,Urbain / Urban,BC,5GB,85,5G
2022,Urbain / Urban,AB,5GB,85,5G
2022,Urbain / Urban,SK,5GB,68.69,5G
2022,Urbain / Urban,MB,5GB,75,5G
2022,Urbain / Urban,ON,5GB,83.13,5G
2022,Urbain / Urban,QC,5GB,50.5,5G
2022,Urbain / Urban,NB,5GB,65,5G
2022,Urbain / Urban,PE,5GB,65,5G
2022,Urbain / Urban,NS,5GB,65,5G
2022,Urbain / Urban,NL,5GB,65,5G
2022,Urbain / Urban,YT,5GB,--,5G
2022,Urbain / Urban,NT,5GB,--,5G
2022,Urbain / Urban,NU,5GB,--,5G
2022,Urbain / Urban,Nord / North,5GB,--,5G
2022,Urbain / Urban,Canada,5GB,70.73,5G
2022,Urbain / Urban,BC,10GB,85,5G
2022,Urbain / Urban,AB,10GB,85,5G
2022,Urbain / Urban,SK,10GB,73.69,5G
2022,Urbain / Urban,MB,10GB,75,5G
2022,Urbain / Urban,ON,10GB,83.13,5G
2022,Urbain / Urban,QC,10GB,52,5G
2022,Urbain / Urban,NB,10GB,85,5G
2022,Urbain / Urban,PE,10GB,85,5G
2022,Urbain / Urban,NS,10GB,85,5G
2022,Urbain / Urban,NL,10GB,85,5G
2022,Urbain / Urban,YT,10GB,--,5G
2022,Urbain / Urban,NT,10GB,--,5G
2022,Urbain / Urban,NU,10GB,--,5G
2022,Urbain / Urban,Nord / North,10GB,--,5G
2022,Urbain / Urban,Canada,10GB,79.38,5G
2022,Urbain / Urban,BC,20GB,85,5G
2022,Urbain / Urban,AB,20GB,85,5G
2022,Urbain / Urban,SK,20GB,77.46,5G
2022,Urbain / Urban,MB,20GB,75,5G
2022,Urbain / Urban,ON,20GB,82.81,5G
2022,Urbain / Urban,QC,20GB,59.67,5G
2022,Urbain / Urban,NB,20GB,76.67,5G
2022,Urbain / Urban,PE,20GB,76.67,5G
2022,Urbain / Urban,NS,20GB,76.67,5G
2022,Urbain / Urban,NL,20GB,76.67,5G
2022,Urbain / Urban,YT,20GB,--,5G
2022,Urbain / Urban,NT,20GB,--,5G
2022,Urbain / Urban,NU,20GB,--,5G
2022,Urbain / Urban,Nord / North,20GB,--,5G
2022,Urbain / Urban,Canada,20GB,77.16,5G
2022,Urbain / Urban,BC,50GB,88.33,5G
2022,Urbain / Urban,AB,50GB,86.67,5G
2022,Urbain / Urban,SK,50GB,79.35,5G
2022,Urbain / Urban,MB,50GB,75,5G
2022,Urbain / Urban,ON,50GB,83.75,5G
2022,Urbain / Urban,QC,50GB,78.75,5G
2022,Urbain / Urban,NB,50GB,85,5G
2022,Urbain / Urban,PE,50GB,85,5G
2022,Urbain / Urban,NS,50GB,85,5G
2022,Urbain / Urban,NL,50GB,85,5G
2022,Urbain / Urban,YT,50GB,85,5G
2022,Urbain / Urban,NT,50GB,85,5G
2022,Urbain / Urban,NU,50GB,85,5G
2022,Urbain / Urban,Nord / North,50GB,85,5G
2022,Urbain / Urban,Canada,50GB,83.35,5G
2022,Rural,BC,Talk Plan,19.17,Plus bas prix / Lowest
2022,Rural,AB,Talk Plan,20,Plus bas prix / Lowest
2022,Rural,SK,Talk Plan,25.34,Plus bas prix / Lowest
2022,Rural,MB,Talk Plan,20.47,Plus bas prix / Lowest
2022,Rural,ON,Talk Plan,20.1,Plus bas prix / Lowest
2022,Rural,QC,Talk Plan,19.98,Plus bas prix / Lowest
2022,Rural,NB,Talk Plan,20.8,Plus bas prix / Lowest
2022,Rural,PE,Talk Plan,22,Plus bas prix / Lowest
2022,Rural,NS,Talk Plan,22.13,Plus bas prix / Lowest
2022,Rural,NL,Talk Plan,21.17,Plus bas prix / Lowest
2022,Rural,YT,Talk Plan,22.33,Plus bas prix / Lowest
2022,Rural,NT,Talk Plan,22.33,Plus bas prix / Lowest
2022,Rural,NU,Talk Plan,22.19,Plus bas prix / Lowest
2022,Rural,Nord / North,Talk Plan,22.29,Plus bas prix / Lowest
2022,Rural,Canada,Talk Plan,21.22,Plus bas prix / Lowest
2022,Rural,BC,1GB,27.07,Plus bas prix / Lowest
2022,Rural,AB,1GB,27.5,Plus bas prix / Lowest
2022,Rural,SK,1GB,27.33,Plus bas prix / Lowest
2022,Rural,MB,1GB,27.33,Plus bas prix / Lowest
2022,Rural,ON,1GB,27.3,Plus bas prix / Lowest
2022,Rural,QC,1GB,27.43,Plus bas prix / Lowest
2022,Rural,NB,1GB,27.22,Plus bas prix / Lowest
2022,Rural,PE,1GB,27.5,Plus bas prix / Lowest
2022,Rural,NS,1GB,27.22,Plus bas prix / Lowest
2022,Rural,NL,1GB,26.67,Plus bas prix / Lowest
2022,Rural,YT,1GB,27.5,Plus bas prix / Lowest
2022,Rural,NT,1GB,27.5,Plus bas prix / Lowest
2022,Rural,NU,1GB,26.25,Plus bas prix / Lowest
2022,Rural,Nord / North,1GB,27.08,Plus bas prix / Lowest
2022,Rural,Canada,1GB,27.24,Plus bas prix / Lowest
2022,Rural,BC,2GB,35.26,Plus bas prix / Lowest
2022,Rural,AB,2GB,35.5,Plus bas prix / Lowest
2022,Rural,SK,2GB,35.1,Plus bas prix / Lowest
2022,Rural,MB,2GB,35.3,Plus bas prix / Lowest
2022,Rural,ON,2GB,35.44,Plus bas prix / Lowest
2022,Rural,QC,2GB,32.35,Plus bas prix / Lowest
2022,Rural,NB,2GB,35.67,Plus bas prix / Lowest
2022,Rural,PE,2GB,36.25,Plus bas prix / Lowest
2022,Rural,NS,2GB,36.17,Plus bas prix / Lowest
2022,Rural,NL,2GB,34.92,Plus bas prix / Lowest
2022,Rural,YT,2GB,35,Plus bas prix / Lowest
2022,Rural,NT,2GB,35,Plus bas prix / Lowest
2022,Rural,NU,2GB,34.38,Plus bas prix / Lowest
2022,Rural,Nord / North,2GB,34.79,Plus bas prix / Lowest
2022,Rural,Canada,2GB,35.16,Plus bas prix / Lowest
2022,Rural,BC,5GB,45.93,Plus bas prix / Lowest
2022,Rural,AB,5GB,47.73,Plus bas prix / Lowest
2022,Rural,SK,5GB,50.64,Plus bas prix / Lowest
2022,Rural,MB,5GB,41.78,Plus bas prix / Lowest
2022,Rural,ON,5GB,49.4,Plus bas prix / Lowest
2022,Rural,QC,5GB,37.63,Plus bas prix / Lowest
2022,Rural,NB,5GB,44.56,Plus bas prix / Lowest
2022,Rural,PE,5GB,42.86,Plus bas prix / Lowest
2022,Rural,NS,5GB,42.74,Plus bas prix / Lowest
2022,Rural,NL,5GB,41.33,Plus bas prix / Lowest
2022,Rural,YT,5GB,41.67,Plus bas prix / Lowest
2022,Rural,NT,5GB,41.67,Plus bas prix / Lowest
2022,Rural,NU,5GB,40.83,Plus bas prix / Lowest
2022,Rural,Nord / North,5GB,41.39,Plus bas prix / Lowest
2022,Rural,Canada,5GB,44.18,Plus bas prix / Lowest
2022,Rural,BC,10GB,61.46,Plus bas prix / Lowest
2022,Rural,AB,10GB,63,Plus bas prix / Lowest
2022,Rural,SK,10GB,64.58,Plus bas prix / Lowest
2022,Rural,MB,10GB,55,Plus bas prix / Lowest
2022,Rural,ON,10GB,65.54,Plus bas prix / Lowest
2022,Rural,QC,10GB,42.15,Plus bas prix / Lowest
2022,Rural,NB,10GB,58.33,Plus bas prix / Lowest
2022,Rural,PE,10GB,55,Plus bas prix / Lowest
2022,Rural,NS,10GB,55,Plus bas prix / Lowest
2022,Rural,NL,10GB,55,Plus bas prix / Lowest
2022,Rural,YT,10GB,55,Plus bas prix / Lowest
2022,Rural,NT,10GB,55,Plus bas prix / Lowest
2022,Rural,NU,10GB,51.25,Plus bas prix / Lowest
2022,Rural,Nord / North,10GB,53.75,Plus bas prix / Lowest
2022,Rural,Canada,10GB,57.16,Plus bas prix / Lowest
2022,Rural,BC,20GB,64.07,Plus bas prix / Lowest
2022,Rural,AB,20GB,66.93,Plus bas prix / Lowest
2022,Rural,SK,20GB,64.24,Plus bas prix / Lowest
2022,Rural,MB,20GB,56.5,Plus bas prix / Lowest
2022,Rural,ON,20GB,66.12,Plus bas prix / Lowest
2022,Rural,QC,20GB,54.53,Plus bas prix / Lowest
2022,Rural,NB,20GB,62.78,Plus bas prix / Lowest
2022,Rural,PE,20GB,60.44,Plus bas prix / Lowest
2022,Rural,NS,20GB,60.78,Plus bas prix / Lowest
2022,Rural,NL,20GB,61.11,Plus bas prix / Lowest
2022,Rural,YT,20GB,57.5,Plus bas prix / Lowest
2022,Rural,NT,20GB,57.5,Plus bas prix / Lowest
2022,Rural,NU,20GB,67.5,Plus bas prix / Lowest
2022,Rural,Nord / North,20GB,60.83,Plus bas prix / Lowest
2022,Rural,Canada,20GB,61.67,Plus bas prix / Lowest
2022,Rural,BC,50GB,86.69,Plus bas prix / Lowest
2022,Rural,AB,50GB,87.47,Plus bas prix / Lowest
2022,Rural,SK,50GB,80.04,Plus bas prix / Lowest
2022,Rural,MB,50GB,75,Plus bas prix / Lowest
2022,Rural,ON,50GB,84.57,Plus bas prix / Lowest
2022,Rural,QC,50GB,68.84,Plus bas prix / Lowest
2022,Rural,NB,50GB,85.61,Plus bas prix / Lowest
2022,Rural,PE,50GB,83.11,Plus bas prix / Lowest
2022,Rural,NS,50GB,82.11,Plus bas prix / Lowest
2022,Rural,NL,50GB,86.94,Plus bas prix / Lowest
2022,Rural,YT,50GB,81.67,Plus bas prix / Lowest
2022,Rural,NT,50GB,85,Plus bas prix / Lowest
2022,Rural,NU,50GB,85,Plus bas prix / Lowest
2022,Rural,Nord / North,50GB,83.89,Plus bas prix / Lowest
2022,Rural,Canada,50GB,82.21,Plus bas prix / Lowest
2022,Rural,BC,Talk Plan,15,3G
2022,Rural,AB,Talk Plan,15,3G
2022,Rural,SK,Talk Plan,22.53,3G
2022,Rural,MB,Talk Plan,15,3G
2022,Rural,ON,Talk Plan,15,3G
2022,Rural,QC,Talk Plan,15.63,3G
2022,Rural,NB,Talk Plan,15,3G
2022,Rural,PE,Talk Plan,15,3G
2022,Rural,NS,Talk Plan,15,3G
2022,Rural,NL,Talk Plan,15,3G
2022,Rural,YT,Talk Plan,15,3G
2022,Rural,NT,Talk Plan,15,3G
2022,Rural,NU,Talk Plan,15,3G
2022,Rural,Nord / North,Talk Plan,15,3G
2022,Rural,Canada,Talk Plan,15.74,3G
2022,Rural,BC,1GB,25,3G
2022,Rural,AB,1GB,25,3G
2022,Rural,SK,1GB,25,3G
2022,Rural,MB,1GB,25,3G
2022,Rural,ON,1GB,25,3G
2022,Rural,QC,1GB,25,3G
2022,Rural,NB,1GB,25,3G
2022,Rural,PE,1GB,25,3G
2022,Rural,NS,1GB,25,3G
2022,Rural,NL,1GB,25,3G
2022,Rural,YT,1GB,25,3G
2022,Rural,NT,1GB,25,3G
2022,Rural,NU,1GB,25,3G
2022,Rural,Nord / North,1GB,25,3G
2022,Rural,Canada,1GB,25,3G
2022,Rural,BC,2GB,32.14,3G
2022,Rural,AB,2GB,32.5,3G
2022,Rural,SK,2GB,31,3G
2022,Rural,MB,2GB,32,3G
2022,Rural,ON,2GB,32.5,3G
2022,Rural,QC,2GB,31.88,3G
2022,Rural,NB,2GB,32.5,3G
2022,Rural,PE,2GB,32.5,3G
2022,Rural,NS,2GB,32.5,3G
2022,Rural,NL,2GB,31.67,3G
2022,Rural,YT,2GB,30,3G
2022,Rural,NT,2GB,30,3G
2022,Rural,NU,2GB,30,3G
2022,Rural,Nord / North,2GB,30,3G
2022,Rural,Canada,2GB,31.93,3G
2022,Rural,BC,5GB,37.14,3G
2022,Rural,AB,5GB,37.5,3G
